"Label", "F"
"1", 0.4854409880200802
"1", 0.4914279443563925
"1", 0.482350133390132
"1", 0.5099829045322049
"1", 0.48876748092160516
"1", 0.4955376191153464
"1", 0.4933783905853642
"1", 0.4856551339203177
"1", 0.4911451903185299
"1", 0.5042902486769546
"2", 0.46884516666212855
"2", 0.4616523346679788
"2", 0.47764308148258605
"2", 0.465933203213679
"2", 0.482658424799028
"2", 0.47050841641583396
"2", 0.46249704766800515
"2", 0.4783753345768976
"2", 0.47875443918850913
"2", 0.48258774872680477
"3", 0.4729089354281103
"3", 0.4795865262724329
"3", 0.48408171437959513
"3", 0.4666510820054893
"3", 0.4807987711213517
"3", 0.5046433535203747
"3", 0.48094049352630586
"3", 0.4740412296332256
"3", 0.4954839526811309
"3", 0.4946500146032109
"4", 0.495482895695882
"4", 0.5049786538062067
"4", 0.4944910312243366
"4", 0.48433542981062855
"4", 0.4793939750601485
"4", 0.48595250135686596
"4", 0.5076337504083168
"4", 0.4861341868165262
"4", 0.5104276515484861
"4", 0.49565753535083584
"5", 0.4749425411190117
"5", 0.477819229423167
"5", 0.4699767359073552
"5", 0.4898786614345215
"5", 0.4794207679347344
"5", 0.4774678331048182
"5", 0.4887929293596526
"5", 0.4789846366877536
"5", 0.47831856439913295
"5", 0.4954853780153632
