"Label", "F"
"1", 0.4833626039105492
"1", 0.483573421054217
"1", 0.48898613366981225
"1", 0.4730337236336759
"1", 0.48727193500323296
"1", 0.4390243902439025
"1", 0.4654679651263496
"1", 0.5224941724941725
"1", 0.47063697842880436
"1", 0.5117056856187291
"1", 0.5180968726163234
"1", 0.5213885778275476
"1", 0.4977516147494072
"1", 0.5046896356695103
"1", 0.4936464181261976
"1", 0.5152950695586354
"1", 0.5142675755145684
"1", 0.5024579036569221
"1", 0.5230250137385336
"1", 0.521193165570489
"2", 0.4711385187607292
"2", 0.4741887905604719
"2", 0.4881783262897465
"2", 0.4724080889186276
"2", 0.4645457280385078
"2", 0.4460349490618125
"2", 0.48462184873949576
"2", 0.5123893805309734
"2", 0.45462365591397846
"2", 0.484948335327163
"2", 0.48778193032433415
"2", 0.49819231599395636
"2", 0.4769802950835744
"2", 0.4746038771355227
"2", 0.48698844111215256
"2", 0.47321787484925626
"2", 0.5025549613784908
"2", 0.4769664834362991
"2", 0.5261111111111111
"2", 0.4983134541155197
"3", 0.465743561340349
"3", 0.48795643481005996
"3", 0.49199389378842306
"3", 0.48641686610519397
"3", 0.46183140743881856
"3", 0.4475602796404623
"3", 0.5013238563781588
"3", 0.5198355104015482
"3", 0.4810775259653065
"3", 0.49555180180180175
"3", 0.504643716790045
"3", 0.504883905889257
"3", 0.4870391705069125
"3", 0.4708536882368952
"3", 0.48611953372414257
"3", 0.4869025076031446
"3", 0.49837476194749386
"3", 0.47885196374622363
"3", 0.5293058774390762
"3", 0.5183033892353104
"4", 0.4933562375701058
"4", 0.468838094426574
"4", 0.5206822554388042
"4", 0.4714984951205423
"4", 0.48034808904374127
"4", 0.43549679487179493
"4", 0.4671285534132519
"4", 0.5107531289282397
"4", 0.5024179998538972
"4", 0.5003596841035265
"4", 0.5001918158567775
"4", 0.5173301418771646
"4", 0.5072454152913923
"4", 0.5103944082588884
"4", 0.4870186632061784
"4", 0.4932725951217863
"4", 0.50472334682861
"4", 0.5154287627337509
"4", 0.5147506551564667
"4", 0.5081586435166366
"5", 0.4745494157258863
"5", 0.4858134920634921
"5", 0.4932578209277238
"5", 0.4912296469389895
"5", 0.4642615410961697
"5", 0.43874262639059336
"5", 0.4598442714126807
"5", 0.516561927206075
"5", 0.4629601840736295
"5", 0.4814985299795088
"5", 0.48327510253683736
"5", 0.5122043897805111
"5", 0.489655172413793
"5", 0.46246979065314964
"5", 0.49736842105263157
"5", 0.4579849012775842
"5", 0.5022038354469532
"5", 0.47337120136324906
"5", 0.5220357231105934
"5", 0.5053714995144124
